iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
4.945060000000027e-05	2.035152e+00	5.000000e+00	4.945060e-05	-3.874037e-19	-3.874037e-19
4.955050000000027e-05	2.032569e+00	5.000000e+00	4.955050e-05	-1.192622e-18	-1.192622e-18
4.965040000000027e-05	2.029989e+00	5.000000e+00	4.965040e-05	-5.585845e-19	-5.585845e-19
4.975030000000027e-05	2.027410e+00	5.000000e+00	4.975030e-05	5.421011e-20	5.421011e-20
4.985020000000028e-05	2.024833e+00	5.000000e+00	4.985020e-05	-4.964546e-19	-4.964546e-19
4.995010000000028e-05	2.022258e+00	5.000000e+00	4.995010e-05	-8.295520e-19	-8.295520e-19
5.005000000000028e-05	2.019684e+00	5.000000e+00	5.005000e-05	1.301043e-18	1.301043e-18
5.014990000000028e-05	2.017113e+00	5.000000e+00	5.014990e-05	1.517883e-18	1.517883e-18
5.024980000000029e-05	2.014543e+00	5.000000e+00	5.024980e-05	1.463673e-18	1.463673e-18
5.034970000000029e-05	2.011975e+00	5.000000e+00	5.034970e-05	9.215718e-19	9.215718e-19
5.044960000000029e-05	2.009409e+00	5.000000e+00	5.044960e-05	1.517883e-18	1.517883e-18
5.054950000000029e-05	2.006845e+00	5.000000e+00	5.054950e-05	-3.797461e-20	-3.797461e-20
5.064940000000029e-05	2.004283e+00	5.000000e+00	5.064940e-05	7.862049e-19	7.862049e-19
5.074930000000030e-05	2.001723e+00	5.000000e+00	5.074930e-05	7.589415e-19	7.589415e-19
5.084920000000030e-05	1.999164e+00	5.000000e+00	5.084920e-05	-3.805649e-20	-3.805649e-20
5.094910000000030e-05	1.996607e+00	5.000000e+00	5.094910e-05	7.835150e-19	7.835150e-19
5.104900000000030e-05	1.994052e+00	5.000000e+00	5.104900e-05	-1.029992e-18	-1.029992e-18
5.114890000000031e-05	1.991499e+00	5.000000e+00	5.114890e-05	-2.634043e-19	-2.634043e-19
5.124880000000031e-05	1.988947e+00	5.000000e+00	5.124880e-05	-1.029992e-18	-1.029992e-18
5.134870000000031e-05	1.986398e+00	5.000000e+00	5.134870e-05	7.047314e-19	7.047314e-19
5.144860000000031e-05	1.983850e+00	5.000000e+00	5.144860e-05	5.803202e-19	5.803202e-19
5.154850000000031e-05	1.981304e+00	5.000000e+00	5.154850e-05	-1.409463e-18	-1.409463e-18
5.164840000000032e-05	1.978760e+00	5.000000e+00	5.164840e-05	-1.785674e-19	-1.785674e-19
5.174830000000032e-05	1.976217e+00	5.000000e+00	5.174830e-05	3.252607e-19	3.252607e-19
5.184820000000032e-05	1.973676e+00	5.000000e+00	5.184820e-05	-1.785137e-19	-1.785137e-19
5.194810000000032e-05	1.971137e+00	5.000000e+00	5.194810e-05	-9.757820e-19	-9.757820e-19
5.204800000000033e-05	1.968600e+00	5.000000e+00	5.204800e-05	1.468005e-19	1.468005e-19
5.214790000000033e-05	1.966064e+00	5.000000e+00	5.214790e-05	1.014189e-18	1.014189e-18
5.224780000000033e-05	1.963530e+00	5.000000e+00	5.224780e-05	5.963112e-19	5.963112e-19
5.234770000000033e-05	1.960998e+00	5.000000e+00	5.234770e-05	-5.421011e-20	-5.421011e-20
5.244760000000033e-05	1.958468e+00	5.000000e+00	5.244760e-05	-5.421011e-20	-5.421011e-20
5.254750000000034e-05	1.955939e+00	5.000000e+00	5.254750e-05	1.138412e-18	1.138412e-18
5.264740000000034e-05	1.953412e+00	5.000000e+00	5.264740e-05	5.806410e-19	5.806410e-19
5.274730000000034e-05	1.950887e+00	5.000000e+00	5.274730e-05	5.421011e-20	5.421011e-20
5.284720000000034e-05	1.948364e+00	5.000000e+00	5.284720e-05	1.409463e-18	1.409463e-18
5.294710000000035e-05	1.945842e+00	5.000000e+00	5.294710e-05	7.047314e-19	7.047314e-19
5.304700000000035e-05	1.943322e+00	5.000000e+00	5.304700e-05	-3.252607e-19	-3.252607e-19
5.314690000000035e-05	1.940803e+00	5.000000e+00	5.314690e-05	-3.794708e-19	-3.794708e-19
