iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
1.728280000000001e-05	3.025760e+00	1.728280e-05	1.812336e-05	-3.540616e-05	1.812336e-05
1.738270000000001e-05	3.021837e+00	1.738270e-05	1.822661e-05	-3.560931e-05	1.822661e-05
1.748260000000000e-05	3.017923e+00	1.748260e-05	1.832985e-05	-3.581245e-05	1.832985e-05
1.758250000000000e-05	3.014019e+00	1.758250e-05	1.843308e-05	-3.601558e-05	1.843308e-05
1.768240000000000e-05	3.010125e+00	1.768240e-05	1.853630e-05	-3.621869e-05	1.853630e-05
1.778230000000000e-05	3.006240e+00	1.778230e-05	1.863951e-05	-3.642181e-05	1.863951e-05
1.788220000000000e-05	3.002364e+00	1.788220e-05	1.874271e-05	-3.662491e-05	1.874271e-05
1.798210000000000e-05	2.998497e+00	1.798210e-05	1.884590e-05	-3.682800e-05	1.884590e-05
1.808200000000000e-05	2.994640e+00	1.808200e-05	1.894908e-05	-3.703108e-05	1.894908e-05
1.818190000000000e-05	2.990792e+00	1.818190e-05	1.905225e-05	-3.723415e-05	1.905225e-05
1.828179999999999e-05	2.986953e+00	1.828180e-05	1.915541e-05	-3.743721e-05	1.915541e-05
1.838169999999999e-05	2.983123e+00	1.838170e-05	1.925856e-05	-3.764026e-05	1.925856e-05
1.848159999999999e-05	2.979301e+00	1.848160e-05	1.936171e-05	-3.784331e-05	1.936171e-05
1.858149999999999e-05	2.975489e+00	1.858150e-05	1.946484e-05	-3.804634e-05	1.946484e-05
1.868139999999999e-05	2.971685e+00	1.868140e-05	1.956796e-05	-3.824936e-05	1.956796e-05
1.878129999999999e-05	2.967890e+00	1.878130e-05	1.967108e-05	-3.845238e-05	1.967108e-05
1.888119999999999e-05	2.964103e+00	1.888120e-05	1.977418e-05	-3.865538e-05	1.977418e-05
1.898109999999999e-05	2.960325e+00	1.898110e-05	1.987728e-05	-3.885838e-05	1.987728e-05
1.908099999999999e-05	2.956556e+00	1.908100e-05	1.998037e-05	-3.906137e-05	1.998037e-05
1.918089999999998e-05	2.952795e+00	1.918090e-05	2.008344e-05	-3.926435e-05	2.008344e-05
1.928079999999998e-05	2.949042e+00	1.928080e-05	2.018651e-05	-3.946731e-05	2.018651e-05
1.938069999999998e-05	2.945297e+00	1.938070e-05	2.028957e-05	-3.967027e-05	2.028957e-05
