vdm	Ix(M1:DRAIN)	Ix(M2:SOURCE)
-7.759999999999816e-02	-8.532981e-13	-1.452706e-12
-7.719999999999816e-02	-8.541235e-13	-1.452002e-12
-7.679999999999816e-02	-8.549559e-13	-1.451292e-12
-7.639999999999816e-02	-8.557954e-13	-1.450577e-12
-7.599999999999817e-02	-8.566421e-13	-1.449855e-12
-7.559999999999817e-02	-8.574960e-13	-1.449127e-12
-7.519999999999817e-02	-8.583571e-13	-1.448393e-12
-7.479999999999817e-02	-8.592256e-13	-1.447653e-12
-7.439999999999818e-02	-8.601014e-13	-1.446907e-12
-7.399999999999818e-02	-8.609845e-13	-1.446155e-12
-7.359999999999818e-02	-8.618752e-13	-1.445396e-12
-7.319999999999818e-02	-8.627732e-13	-1.444632e-12
-7.279999999999819e-02	-8.636789e-13	-1.443860e-12
-7.239999999999819e-02	-8.645920e-13	-1.443083e-12
-7.199999999999819e-02	-8.655129e-13	-1.442300e-12
-7.159999999999819e-02	-8.664414e-13	-1.441509e-12
-7.119999999999820e-02	-8.673776e-13	-1.440713e-12
-7.079999999999820e-02	-8.683216e-13	-1.439910e-12
-7.039999999999820e-02	-8.692733e-13	-1.439100e-12
-6.999999999999820e-02	-8.702330e-13	-1.438284e-12
-6.959999999999820e-02	-8.712006e-13	-1.437462e-12
-6.919999999999821e-02	-8.721761e-13	-1.436633e-12
-6.879999999999821e-02	-8.731595e-13	-1.435797e-12
-6.839999999999821e-02	-8.741511e-13	-1.434954e-12
-6.799999999999821e-02	-8.751507e-13	-1.434105e-12
-6.759999999999822e-02	-8.761585e-13	-1.433249e-12
-6.719999999999822e-02	-8.771744e-13	-1.432386e-12
-6.679999999999822e-02	-8.781986e-13	-1.431517e-12
-6.639999999999822e-02	-8.792310e-13	-1.430640e-12
-6.599999999999823e-02	-8.802718e-13	-1.429757e-12
-6.559999999999823e-02	-8.813209e-13	-1.428867e-12
-6.519999999999823e-02	-8.823784e-13	-1.427970e-12
-6.479999999999823e-02	-8.834444e-13	-1.427065e-12
-6.439999999999824e-02	-8.845189e-13	-1.426154e-12
-6.399999999999824e-02	-8.856019e-13	-1.425236e-12
-6.359999999999824e-02	-8.866934e-13	-1.424311e-12
-6.319999999999824e-02	-8.877937e-13	-1.423378e-12
-6.279999999999825e-02	-8.889026e-13	-1.422439e-12
