vdm	V(n001)	I(V1)	I(V3)
-7.639999999999816e-02	2.539203e+00	3.315431e-09	3.012577e-08
-7.599999999999817e-02	2.539155e+00	3.353389e-09	3.008788e-08
-7.559999999999817e-02	2.539107e+00	3.391695e-09	3.004964e-08
-7.519999999999817e-02	2.539058e+00	3.430353e-09	3.001105e-08
-7.479999999999817e-02	2.539008e+00	3.469362e-09	2.997211e-08
-7.439999999999818e-02	2.538959e+00	3.508726e-09	2.993281e-08
-7.399999999999818e-02	2.538908e+00	3.548444e-09	2.989317e-08
-7.359999999999818e-02	2.538857e+00	3.588519e-09	2.985316e-08
-7.319999999999818e-02	2.538806e+00	3.628952e-09	2.981280e-08
-7.279999999999819e-02	2.538754e+00	3.669745e-09	2.977208e-08
-7.239999999999819e-02	2.538702e+00	3.710898e-09	2.973100e-08
-7.199999999999819e-02	2.538649e+00	3.752413e-09	2.968956e-08
-7.159999999999819e-02	2.538595e+00	3.794292e-09	2.964775e-08
-7.119999999999820e-02	2.538541e+00	3.836535e-09	2.960558e-08
-7.079999999999820e-02	2.538487e+00	3.879144e-09	2.956305e-08
-7.039999999999820e-02	2.538432e+00	3.922120e-09	2.952015e-08
-6.999999999999820e-02	2.538376e+00	3.965464e-09	2.947688e-08
-6.959999999999820e-02	2.538320e+00	4.009178e-09	2.943325e-08
-6.919999999999821e-02	2.538263e+00	4.053263e-09	2.938924e-08
-6.879999999999821e-02	2.538206e+00	4.097719e-09	2.934486e-08
-6.839999999999821e-02	2.538148e+00	4.142547e-09	2.930011e-08
-6.799999999999821e-02	2.538090e+00	4.187749e-09	2.925499e-08
-6.759999999999822e-02	2.538031e+00	4.233327e-09	2.920950e-08
-6.719999999999822e-02	2.537972e+00	4.279279e-09	2.916363e-08
-6.679999999999822e-02	2.537912e+00	4.325608e-09	2.911738e-08
-6.639999999999822e-02	2.537851e+00	4.372315e-09	2.907076e-08
-6.599999999999823e-02	2.537790e+00	4.419400e-09	2.902376e-08
-6.559999999999823e-02	2.537729e+00	4.466863e-09	2.897638e-08
-6.519999999999823e-02	2.537666e+00	4.514707e-09	2.892862e-08
-6.479999999999823e-02	2.537604e+00	4.562932e-09	2.888049e-08
-6.439999999999824e-02	2.537540e+00	4.611538e-09	2.883197e-08
-6.399999999999824e-02	2.537476e+00	4.660526e-09	2.878307e-08
-6.359999999999824e-02	2.537412e+00	4.709896e-09	2.873379e-08
-6.319999999999824e-02	2.537347e+00	4.759650e-09	2.868412e-08
-6.279999999999825e-02	2.537281e+00	4.809788e-09	2.863408e-08
-6.239999999999825e-02	2.537215e+00	4.860310e-09	2.858365e-08
-6.199999999999825e-02	2.537148e+00	4.911217e-09	2.853283e-08
-6.159999999999825e-02	2.537080e+00	4.962510e-09	2.848163e-08
-6.119999999999826e-02	2.537012e+00	5.014187e-09	2.843005e-08
-6.079999999999826e-02	2.536943e+00	5.066251e-09	2.837808e-08
-6.039999999999826e-02	2.536874e+00	5.118702e-09	2.832572e-08
-5.999999999999826e-02	2.536804e+00	5.171540e-09	2.827298e-08
-5.959999999999827e-02	2.536734e+00	5.224764e-09	2.821986e-08
-5.919999999999827e-02	2.536663e+00	5.278375e-09	2.816634e-08
-5.879999999999827e-02	2.536591e+00	5.332374e-09	2.811245e-08
-5.839999999999827e-02	2.536518e+00	5.386760e-09	2.805816e-08
-5.799999999999828e-02	2.536445e+00	5.441534e-09	2.800349e-08
-5.759999999999828e-02	2.536372e+00	5.496696e-09	2.794843e-08
-5.719999999999828e-02	2.536298e+00	5.552245e-09	2.789298e-08
-5.679999999999828e-02	2.536223e+00	5.608182e-09	2.783715e-08
-5.639999999999828e-02	2.536147e+00	5.664506e-09	2.778093e-08
-5.599999999999829e-02	2.536071e+00	5.721218e-09	2.772432e-08
-5.559999999999829e-02	2.535994e+00	5.778317e-09	2.766733e-08
-5.519999999999829e-02	2.535917e+00	5.835803e-09	2.760995e-08
-5.479999999999829e-02	2.535839e+00	5.893676e-09	2.755218e-08
-5.439999999999830e-02	2.535760e+00	5.951935e-09	2.749404e-08
-5.399999999999830e-02	2.535681e+00	6.010580e-09	2.743550e-08
-5.359999999999830e-02	2.535600e+00	6.069612e-09	2.737658e-08
-5.319999999999830e-02	2.535520e+00	6.129028e-09	2.731727e-08
-5.279999999999831e-02	2.535438e+00	6.188830e-09	2.725758e-08
-5.239999999999831e-02	2.535356e+00	6.249016e-09	2.719751e-08
-5.199999999999831e-02	2.535274e+00	6.309586e-09	2.713706e-08
-5.159999999999831e-02	2.535190e+00	6.370539e-09	2.707622e-08
-5.119999999999832e-02	2.535106e+00	6.431875e-09	2.701500e-08
-5.079999999999832e-02	2.535022e+00	6.493592e-09	2.695340e-08
